indice_tiempo,canasta_basica_alimentaria,inversa_coeficiente_engel,canasta_basica_total,linea_indigencia,linea_pobreza,precio_aceite_girasol_1.5l,dolar
2017-07-01,1984.64,2.45,4862.37,6132.54,15024.72,51.35,17.17022581
2017-08-01,2021.98,2.44,4933.63,6247.92,15244.92,52.35,17.43
2017-09-01,2049.39,2.44,5000.51,6332.62,15451.58,54.09,17.22293333
2017-10-01,2079.23,2.44,5073.32,6424.82,15676.56,54.68,17.45229032
2017-11-01,2125.84,2.44,5187.05,6568.85,16027.98,55.11,17.48693333
2017-12-01,2150.29,2.51,5397.23,6644.4,16677.44,55.52,17.73329032
2018-01-01,2197.26,2.5,5493.15,6789.53,16973.83,55.86,19.02593548
2018-02-01,2261.23,2.51,5675.69,6987.2,17537.88,56.01,19.83285714
2018-03-01,2294.56,2.52,5782.29,7090.19,17867.28,57.25,20.23
2018-04-01,2308.11,2.56,5908.76,7132.06,18258.07,59.53,20.2506
2018-05-01,2418.65,2.52,6095,7473.63,18833.55,62.4,23.59929032
2018-06-01,2537.45,2.5,6343.62,7840.72,19601.79,69.79,26.6512
2018-07-01,2627.37,2.48,6515.88,8118.57,20134.07,76.14,27.59864516
2018-08-01,2701.48,2.5,6753.7,8347.57,20868.93,78.36,29.92983871
2018-09-01,2931.88,2.49,7300.38,9059.51,22558.17,92.12,38.47773333
2018-10-01,3150.62,2.49,7845.04,9735.42,24241.17,96.66,37.04241935
2018-11-01,3276.02,2.49,8157.29,10122.9,25206.03,97.83,36.35133333
2018-12-01,3300.17,2.5,8250.42,10197.53,25493.8,97.76,37.81625806
2019-01-01,3423.03,2.5,8557.58,10577.16,26442.92,98.05,37.35112903
2019-02-01,3597.77,2.48,8922.47,11117.11,27570.43,97.98,38.34389286
2019-03-01,3767.01,2.47,9304.51,11640.06,28750.94,98.91,41.31612903
2019-04-01,3833.28,2.49,9544.87,11844.84,29493.65,101.13,43.21433333
2019-05-01,3911.58,2.51,9818.07,12086.78,30337.84,106.54,44.82387097
2019-06-01,4016.09,2.51,10080.39,12409.72,31148.41,108.98,43.735
2019-07-01,4133.91,2.5,10334.77,12773.78,31934.44,112.8,42.468
2019-08-01,4290.72,2.49,10683.89,13258.32,33013.22,117.5,52.24287097
2019-09-01,4502.88,2.5,11257.2,13913.9,34784.75,124.08,56.6872
2019-10-01,4596.2,2.51,11536.46,14202.26,35647.66,127.47,58.52183871
2019-11-01,4886.34,2.49,12166.99,15098.79,37596,130.85,59.70953333
2019-12-01,5043.41,2.5,12608.52,15584.14,38960.33,132.73,59.87848387
2020-01-01,5332.94,2.45,13065.7,16478.78,40373.01,144.33,59.9843871
2020-02-01,5432.32,2.43,13200.54,16785.87,40789.67,149.44,61.34255172
2020-03-01,5615.94,2.42,13590.57,17353.25,41994.86,150.46,63.24812903
2020-04-01,5791.79,2.38,13784.46,17896.63,42593.98,150.03,65.67726667
2020-05-01,5785.01,2.41,13941.87,17875.68,43080.38,150.58,67.70903226
2020-06-01,5834.66,2.43,14178.22,18029.1,43810.7,149.68,69.55066667
2020-07-01,5929.29,2.43,14408.17,18321.51,44521.25,153.39,71.38290323
2020-08-01,6081.69,2.42,14717.69,18792.42,45477.66,153.93,73.25096774
2020-09-01,6288.17,2.43,15280.25,19430.45,47215.97,157.02,75.181
2020-10-01,6702.33,2.41,16152.62,20710.2,49911.6,170.81,77.55516129
2020-11-01,6981.61,2.4,16755.86,21573.1749,51775.6074,177.75,79.901
2020-12-01,7340.12,2.39,17542.89,22680.9708,54207.5301,181.9,82.63806452
2021-01-01,7677.09,2.38,18271.47,23722.2081,56458.8423,190.11,85.84322581
2021-02-01,7953.14,2.36,18769.41,24575.2,57997.48,192.1,88.72214286
2021-03-01,8312.33,2.37,19700.22,25685.0997,60873.6798,202.19,91.09451613
2021-04-01,8633.31,2.36,20374.61,26676.9279,62957.5449,220.95,92.73433333
2021-05-01,8874.89,2.35,20855.99,27423.41,64445.01,233.35,94.09387097
2021-06-01,9195.41,2.34,21517.26,28413.82,66488.33,240.69,95.25433333
2021-07-01,9386.04,2.33,21869.47,29002.86,67576.66,251.84,96.20516129
2021-08-01,9454.13,2.34,22122.66,29213.26,68359.02,258.72,97.19322581
2021-09-01,9713.21,2.35,22826.04,30013.82,70532.46,273.66,98.25966667
2021-10-01,10008.2,2.34,23419.19,30925.34,72365.3,290.33,99.21483871
2021-11-01,10266.79,2.33,23921.62,31724.38,73917.81,289.3,100.326
2021-12-01,10667.86,2.31,24642.76,32963.69,76146.13,296.67,101.8754839
2022-01-01,11111.27,2.29,25444.81,34333.82,78624.46,305.48,103.9203226
2022-02-01,12108.08,2.24,27122.1,37413.97,83807.29,312.8,106.3771429
2022-03-01,12900.45,2.25,29026.01,39862.39,89690.37,309.79,109.3667742
2022-04-01,13762.77,2.24,30828.6,42526.96,95260.37,351.67,113.1873333
2022-05-01,14400.84,2.24,32257.88,44498.6,99676.85,370.71,117.7754839
2022-06-01,15056.75,2.24,33727.12,46525.36,104216.8,418.66,122.664
2022-07-01,16008.28,2.25,36018.63,49465.59,111297.57,487.16,128.3874194
2022-08-01,17148.8,2.26,38756.29,52989.79,119756.94,576.12,135.2896774
2022-09-01,18359.84,2.26,41493.24,56731.91,128214.11,632.66,143.0923333
2022-10-01,20098.92,2.25,45222.57,62105.66,139737.74,714.85,152.0496774
2022-11-01,20715.93,2.28,47232.32,64012.22,145947.87,727.68,162.0656667
2022-12-01,21743.48,2.27,49357.7,67187.35,152515.29,776.18,172.4122581
2023-01-01,23315.04,2.27,52925.14,72043.47,163538.68,814.01,182.0574194
2023-02-01,26046.32,2.2,57301.9,80483.13,177062.87,867.67,191.9714286
2023-03-01,28388.12,2.18,61886.1,87719.29,191228.05,885.92,202.9180645
2023-04-01,30468.76,2.16,65812.52,94148.47,203360.69,909.17,215.7903333
2023-05-01,32055.87,2.2,70522.91,99052.64,217915.79,928.68,231.0880645
2023-06-01,33730.51,2.23,75219.04,104227.28,232426.83,950.1,248.3633333
2023-07-01,36130.15,2.23,80570.23,111642.16,248962.01,964.8,266.0241935
2023-08-01,42262.25,2.18,92131.7,130590.35,284686.95,1026,321.6226129
2023-09-01,47858.79,2.16,103372.83,147880.57,319422.04,1099.4,350.0116967
2023-10-01,51974.93,2.15,111746.1,160602.53,345295.45,1157,350.0048935
2023-11-01,59886.86,2.11,126361.27,185050.4,390456.32,1273.09,353.4533833
2023-12-01,77889.58,2.06,160452.53,240678.8,495798.32,1993.79,636.4162032
2024-01-01,92414.67,2.09,193146.66,285561.33,596823.18,2630.43,817.8759032
2024-02-01,104482.59,2.139999975,223592.74,322851.2,690901.57,2763.02,834.0932034
2024-03-01,115873.35,2.16,250286.44,358048.65,773385.1,2979.43,850.7581581
2024-04-01,120726.29,2.219999969,268012.36,373044.24,828158.19,2969.19,868.1501
2024-05-01,125235.49,2.2,275518.08,386977.6641,851350.8672,2928.69,885.8226
2024-06-01,127287.79,2.22,282578.89,393319.2711,873168.7701,2933.21,904.0916667
2024-07-01,131293.57,2.220000053,291471.7314,405697.13,900647.65,2957.99,923.5967742
2024-08-01,136399.3,2.23,304170.44,421473.837,939886.6596,2985.42,942.8387097
2024-09-01,138744.31,2.25,312174.7,428719.92,964619.82,3025.31,962.15
2024-10-01,140653.57,2.27,319283.6,434619.5313,986586.324,3179.06,981.4032258
2024-11-01,142148.73,2.28,324099.1,439239.58,1001466.22,3295.82,1001.333333
2024-12-01,145408.96,2.28,331532.43,449313.69,1024435.21,3472.38,1021.935484
2025-01-01,146726.23,2.27999997,334535.8,453384.05,1033715.62,3697.52,1042.854839
2025-02-01,151491.17,2.259999972,342370.04,468107.72,1057923.42,3810.07,1058.1125
2025-03-01,160393.45,2.220000006,356073.46,495615.76,1100266.99,3865.08,1068.782258
2025-04-01,162553.77,2.21,359243.83,502291.15,1110063.43,4058.26,1120.7
2025-05-01,161903.21,2.22,359425.13,500280.92,1110623.65,4179.49,1150.064516
2025-06-01,163756.66,2.23,365177.35,506008.08,1128398.01,4367.87,1179.4
2025-07-01,166797.7,2.23,371958.87,515404.89,1149352.91,4449.6,1268.016129
2025-08-01,168456.04,2.23,375656.97,520529.16,1160780.04,4527.37,1328.064516
2025-09-01,170788.46,2.23,380858.27,527736.34,1176852.05,4696.85,1391.341667
